INSERT INTO MedicalEquipment VALUES (1, 'X-Ray', 947555.05);
INSERT INTO MedicalEquipment VALUES (153, 'Forceps', 1526682.57);
INSERT INTO MedicalEquipment VALUES (154, 'X-Ray', 1772510.95);
INSERT INTO MedicalEquipment VALUES (155, 'Defibrillator', 983875.11);
INSERT INTO MedicalEquipment VALUES (156, 'Wheelchair', 994858.81);
INSERT INTO MedicalEquipment VALUES (157, 'Forceps', 715125.91);
INSERT INTO MedicalEquipment VALUES (158, 'Stethoscope', 1449170.72);
INSERT INTO MedicalEquipment VALUES (159, 'Scalpel', 1960653.69);
INSERT INTO MedicalEquipment VALUES (160, 'Stethoscope', 1584264.74);
INSERT INTO MedicalEquipment VALUES (161, 'MRI Machine', 448045.71);
INSERT INTO MedicalEquipment VALUES (162, 'X-Ray', 866711.34);
INSERT INTO MedicalEquipment VALUES (163, 'Scalpel', 278874.11);
INSERT INTO MedicalEquipment VALUES (164, 'MRI Machine', 1912366.67);
INSERT INTO MedicalEquipment VALUES (165, 'Stethoscope', 1917558.11);
INSERT INTO MedicalEquipment VALUES (166, 'X-Ray', 1840958.38);
INSERT INTO MedicalEquipment VALUES (167, 'Defibrillator', 1865531.83);
INSERT INTO MedicalEquipment VALUES (168, 'Heart Rate Monitor', 1713452.66);
INSERT INTO MedicalEquipment VALUES (169, 'Hospital Bed', 44827.24);
INSERT INTO MedicalEquipment VALUES (170, 'Defibrillator', 776679.76);
INSERT INTO MedicalEquipment VALUES (171, 'MRI Machine', 188797.46);
INSERT INTO MedicalEquipment VALUES (172, 'Hospital Bed', 992075.07);
INSERT INTO MedicalEquipment VALUES (173, 'Wheelchair', 1458697.94);
INSERT INTO MedicalEquipment VALUES (174, 'Hospital Bed', 1494256.63);
INSERT INTO MedicalEquipment VALUES (175, 'Stethoscope', 1419648.3);
INSERT INTO MedicalEquipment VALUES (176, 'Stethoscope', 499922.12);
INSERT INTO MedicalEquipment VALUES (177, 'Pacemaker', 1798050.19);
INSERT INTO MedicalEquipment VALUES (178, 'Surgical Table', 355456.29);
INSERT INTO MedicalEquipment VALUES (179, 'MRI Machine', 1009444.78);
INSERT INTO MedicalEquipment VALUES (180, 'Lift', 1230455.85);
INSERT INTO MedicalEquipment VALUES (181, 'Surgical Table', 1229011.09);
INSERT INTO MedicalEquipment VALUES (182, 'Stethoscope', 1075145.25);
INSERT INTO MedicalEquipment VALUES (183, 'Lift', 1254717.1);
INSERT INTO MedicalEquipment VALUES (184, 'X-Ray', 290884.73);
INSERT INTO MedicalEquipment VALUES (185, 'X-Ray', 1076912.94);
INSERT INTO MedicalEquipment VALUES (186, 'Pacemaker', 1816602.47);
INSERT INTO MedicalEquipment VALUES (187, 'Scalpel', 961554.14);
INSERT INTO MedicalEquipment VALUES (188, 'X-Ray', 496367.55);
INSERT INTO MedicalEquipment VALUES (189, 'Stethoscope', 33561.47);
INSERT INTO MedicalEquipment VALUES (190, 'Pacemaker', 430503.63);
INSERT INTO MedicalEquipment VALUES (191, 'Lift', 412085.91);
INSERT INTO MedicalEquipment VALUES (192, 'Heart Rate Monitor', 82721.48);
INSERT INTO MedicalEquipment VALUES (193, 'Pacemaker', 1527674.46);
INSERT INTO MedicalEquipment VALUES (194, 'Defibrillator', 1030861.49);
INSERT INTO MedicalEquipment VALUES (195, 'Stethoscope', 1496919.93);
INSERT INTO MedicalEquipment VALUES (196, 'MRI Machine', 1041628.99);
INSERT INTO MedicalEquipment VALUES (197, 'Surgical Table', 537970.17);
INSERT INTO MedicalEquipment VALUES (198, 'Surgical Table', 494014.99);
INSERT INTO MedicalEquipment VALUES (199, 'Scalpel', 97234.56);
INSERT INTO MedicalEquipment VALUES (200, 'Scalpel', 1759808.54);
INSERT INTO MedicalEquipment VALUES (201, 'X-Ray', 376225.2);
INSERT INTO MedicalEquipment VALUES (202, 'Stethoscope', 918465.12);
INSERT INTO MedicalEquipment VALUES (203, 'MRI Machine', 1581746.42);
INSERT INTO MedicalEquipment VALUES (204, 'Hospital Bed', 1876829.66);
INSERT INTO MedicalEquipment VALUES (205, 'Lift', 1787483.53);
INSERT INTO MedicalEquipment VALUES (206, 'Surgical Table', 1605557.59);
INSERT INTO MedicalEquipment VALUES (207, 'Stethoscope', 633954.49);
INSERT INTO MedicalEquipment VALUES (208, 'Scalpel', 577416.72);
INSERT INTO MedicalEquipment VALUES (209, 'Heart Rate Monitor', 86884.05);
INSERT INTO MedicalEquipment VALUES (210, 'Heart Rate Monitor', 1697212.56);
INSERT INTO MedicalEquipment VALUES (211, 'X-Ray', 1526521.11);
INSERT INTO MedicalEquipment VALUES (212, 'Scalpel', 1893795.14);
INSERT INTO MedicalEquipment VALUES (213, 'Surgical Table', 993277.85);
INSERT INTO MedicalEquipment VALUES (214, 'X-Ray', 251695.66);
INSERT INTO MedicalEquipment VALUES (215, 'Hospital Bed', 438080.63);
INSERT INTO MedicalEquipment VALUES (216, 'X-Ray', 19491.2);
INSERT INTO MedicalEquipment VALUES (217, 'X-Ray', 325036.77);
INSERT INTO MedicalEquipment VALUES (218, 'Lift', 242520.09);
INSERT INTO MedicalEquipment VALUES (219, 'Defibrillator', 1433466.53);
INSERT INTO MedicalEquipment VALUES (220, 'Lift', 118200.8);
INSERT INTO MedicalEquipment VALUES (221, 'Defibrillator', 781503.64);
INSERT INTO MedicalEquipment VALUES (222, 'Defibrillator', 734256.61);
INSERT INTO MedicalEquipment VALUES (223, 'Stethoscope', 330922.05);
INSERT INTO MedicalEquipment VALUES (224, 'Pacemaker', 1666591.57);
INSERT INTO MedicalEquipment VALUES (225, 'Heart Rate Monitor', 667405.58);
INSERT INTO MedicalEquipment VALUES (226, 'Defibrillator', 1317116.69);
INSERT INTO MedicalEquipment VALUES (227, 'Stethoscope', 1831505.02);
INSERT INTO MedicalEquipment VALUES (228, 'Scalpel', 1974702.58);
INSERT INTO MedicalEquipment VALUES (229, 'Forceps', 601447.48);
INSERT INTO MedicalEquipment VALUES (230, 'Heart Rate Monitor', 776857.18);
INSERT INTO MedicalEquipment VALUES (231, 'MRI Machine', 1013312.84);
INSERT INTO MedicalEquipment VALUES (232, 'Wheelchair', 1205248.58);
INSERT INTO MedicalEquipment VALUES (233, 'X-Ray', 1005916.01);
INSERT INTO MedicalEquipment VALUES (234, 'Lift', 1930134.75);
INSERT INTO MedicalEquipment VALUES (235, 'Pacemaker', 569345.09);
INSERT INTO MedicalEquipment VALUES (236, 'Heart Rate Monitor', 948927.37);
INSERT INTO MedicalEquipment VALUES (237, 'Forceps', 1486663.56);
INSERT INTO MedicalEquipment VALUES (238, 'Pacemaker', 574715.48);
INSERT INTO MedicalEquipment VALUES (239, 'Stethoscope', 20279.79);
INSERT INTO MedicalEquipment VALUES (240, 'Hospital Bed', 211068.18);
INSERT INTO MedicalEquipment VALUES (241, 'Surgical Table', 1090400.26);
INSERT INTO MedicalEquipment VALUES (242, 'Stethoscope', 580821.1);
INSERT INTO MedicalEquipment VALUES (243, 'Surgical Table', 536273.35);
INSERT INTO MedicalEquipment VALUES (244, 'MRI Machine', 1525842.09);
INSERT INTO MedicalEquipment VALUES (245, 'Lift', 1865502.93);
INSERT INTO MedicalEquipment VALUES (246, 'MRI Machine', 1297260.42);
INSERT INTO MedicalEquipment VALUES (247, 'Pacemaker', 975998.55);
INSERT INTO MedicalEquipment VALUES (248, 'X-Ray', 1839989.15);
INSERT INTO MedicalEquipment VALUES (249, 'Stethoscope', 1155353.33);
INSERT INTO MedicalEquipment VALUES (250, 'Wheelchair', 1646167.3);
INSERT INTO MedicalEquipment VALUES (251, 'Hospital Bed', 1282311.13);
INSERT INTO MedicalEquipment VALUES (252, 'Surgical Table', 1791394.84);
INSERT INTO MedicalEquipment VALUES (253, 'Forceps', 615543.51);
INSERT INTO MedicalEquipment VALUES (254, 'Lift', 1550926.52);
INSERT INTO MedicalEquipment VALUES (255, 'Pacemaker', 471084.27);
INSERT INTO MedicalEquipment VALUES (256, 'Defibrillator', 1059974.36);
INSERT INTO MedicalEquipment VALUES (257, 'Heart Rate Monitor', 76231.08);
INSERT INTO MedicalEquipment VALUES (258, 'Pacemaker', 1670934.3);
INSERT INTO MedicalEquipment VALUES (259, 'Wheelchair', 106769.86);
INSERT INTO MedicalEquipment VALUES (260, 'Forceps', 576995.76);
INSERT INTO MedicalEquipment VALUES (261, 'Stethoscope', 57598.18);
INSERT INTO MedicalEquipment VALUES (262, 'Wheelchair', 809496.01);
INSERT INTO MedicalEquipment VALUES (263, 'Lift', 380138.69);
INSERT INTO MedicalEquipment VALUES (264, 'Surgical Table', 554392.44);
INSERT INTO MedicalEquipment VALUES (265, 'Defibrillator', 156.4);
INSERT INTO MedicalEquipment VALUES (266, 'Forceps', 815720.84);
INSERT INTO MedicalEquipment VALUES (267, 'Forceps', 685613.83);
INSERT INTO MedicalEquipment VALUES (268, 'Forceps', 531081.8);
INSERT INTO MedicalEquipment VALUES (269, 'Surgical Table', 85053.71);
INSERT INTO MedicalEquipment VALUES (270, 'Forceps', 1320224.57);
INSERT INTO MedicalEquipment VALUES (271, 'Scalpel', 1942049.79);
INSERT INTO MedicalEquipment VALUES (272, 'MRI Machine', 1932420.05);
INSERT INTO MedicalEquipment VALUES (273, 'MRI Machine', 897173.12);
INSERT INTO MedicalEquipment VALUES (274, 'Scalpel', 1222800.2);
INSERT INTO MedicalEquipment VALUES (275, 'Scalpel', 1809314.73);
INSERT INTO MedicalEquipment VALUES (276, 'Heart Rate Monitor', 1000883.14);
INSERT INTO MedicalEquipment VALUES (277, 'Surgical Table', 1122968.65);
INSERT INTO MedicalEquipment VALUES (278, 'MRI Machine', 493963.97);
INSERT INTO MedicalEquipment VALUES (279, 'X-Ray', 422415.87);
INSERT INTO MedicalEquipment VALUES (280, 'Surgical Table', 377870.92);
INSERT INTO MedicalEquipment VALUES (281, 'Stethoscope', 976563.26);
INSERT INTO MedicalEquipment VALUES (282, 'Lift', 557124.96);
INSERT INTO MedicalEquipment VALUES (283, 'Pacemaker', 1299756.66);
INSERT INTO MedicalEquipment VALUES (284, 'MRI Machine', 1106185.08);
INSERT INTO MedicalEquipment VALUES (285, 'Surgical Table', 113032.21);
INSERT INTO MedicalEquipment VALUES (286, 'X-Ray', 285767.86);
INSERT INTO MedicalEquipment VALUES (287, 'Forceps', 1677340.02);
INSERT INTO MedicalEquipment VALUES (288, 'Defibrillator', 1368332.55);
INSERT INTO MedicalEquipment VALUES (289, 'Hospital Bed', 1413617.44);
INSERT INTO MedicalEquipment VALUES (290, 'Pacemaker', 1479274.58);
INSERT INTO MedicalEquipment VALUES (291, 'X-Ray', 677225.72);
INSERT INTO MedicalEquipment VALUES (292, 'Heart Rate Monitor', 1888453.36);
INSERT INTO MedicalEquipment VALUES (293, 'Scalpel', 218662.82);
INSERT INTO MedicalEquipment VALUES (294, 'MRI Machine', 575443.2);
INSERT INTO MedicalEquipment VALUES (295, 'Lift', 441917.17);
INSERT INTO MedicalEquipment VALUES (296, 'Wheelchair', 600366.16);
INSERT INTO MedicalEquipment VALUES (297, 'Defibrillator', 332924.27);
INSERT INTO MedicalEquipment VALUES (298, 'MRI Machine', 309994.88);
INSERT INTO MedicalEquipment VALUES (299, 'Pacemaker', 648293.25);
INSERT INTO MedicalEquipment VALUES (300, 'Forceps', 918466.64);
INSERT INTO MedicalEquipment VALUES (301, 'Hospital Bed', 1447198.08);
INSERT INTO MedicalEquipment VALUES (302, 'Hospital Bed', 54684.18);
INSERT INTO MedicalEquipment VALUES (303, 'Heart Rate Monitor', 659709.35);
INSERT INTO MedicalEquipment VALUES (304, 'Wheelchair', 749901.07);
INSERT INTO MedicalEquipment VALUES (305, 'Forceps', 1492218.18);
INSERT INTO MedicalEquipment VALUES (306, 'Heart Rate Monitor', 641854.68);
INSERT INTO MedicalEquipment VALUES (307, 'Wheelchair', 1984176.56);
INSERT INTO MedicalEquipment VALUES (308, 'Forceps', 1244174.03);
INSERT INTO MedicalEquipment VALUES (309, 'Surgical Table', 1883004.89);
INSERT INTO MedicalEquipment VALUES (310, 'Hospital Bed', 628801.2);
INSERT INTO MedicalEquipment VALUES (311, 'Surgical Table', 677381.5);
INSERT INTO MedicalEquipment VALUES (312, 'Wheelchair', 1203829.0);
INSERT INTO MedicalEquipment VALUES (313, 'X-Ray', 1613901.96);
INSERT INTO MedicalEquipment VALUES (314, 'Pacemaker', 158418.64);
INSERT INTO MedicalEquipment VALUES (315, 'Pacemaker', 860435.98);
INSERT INTO MedicalEquipment VALUES (316, 'Wheelchair', 1063271.72);
INSERT INTO MedicalEquipment VALUES (317, 'X-Ray', 1727211.19);
INSERT INTO MedicalEquipment VALUES (318, 'Stethoscope', 1841531.58);
INSERT INTO MedicalEquipment VALUES (319, 'Forceps', 621943.72);
INSERT INTO MedicalEquipment VALUES (320, 'Lift', 1393579.77);
INSERT INTO MedicalEquipment VALUES (321, 'MRI Machine', 807333.04);
INSERT INTO MedicalEquipment VALUES (322, 'Stethoscope', 1416211.32);
INSERT INTO MedicalEquipment VALUES (323, 'Hospital Bed', 227242.68);
INSERT INTO MedicalEquipment VALUES (324, 'Lift', 1001466.3);
INSERT INTO MedicalEquipment VALUES (325, 'Hospital Bed', 839838.5);
INSERT INTO MedicalEquipment VALUES (326, 'Surgical Table', 329994.21);
INSERT INTO MedicalEquipment VALUES (327, 'Pacemaker', 1782421.64);
INSERT INTO MedicalEquipment VALUES (328, 'Scalpel', 864333.41);
INSERT INTO MedicalEquipment VALUES (329, 'Stethoscope', 1028939.68);
INSERT INTO MedicalEquipment VALUES (330, 'Heart Rate Monitor', 1849521.9);
INSERT INTO MedicalEquipment VALUES (331, 'X-Ray', 1282325.93);
INSERT INTO MedicalEquipment VALUES (332, 'X-Ray', 380668.67);
INSERT INTO MedicalEquipment VALUES (333, 'Heart Rate Monitor', 979086.96);
INSERT INTO MedicalEquipment VALUES (334, 'Forceps', 1817225.31);
INSERT INTO MedicalEquipment VALUES (335, 'Lift', 316151.38);
INSERT INTO MedicalEquipment VALUES (336, 'Surgical Table', 1712400.3);
INSERT INTO MedicalEquipment VALUES (337, 'Pacemaker', 25107.11);
INSERT INTO MedicalEquipment VALUES (338, 'Heart Rate Monitor', 753973.97);
INSERT INTO MedicalEquipment VALUES (339, 'Pacemaker', 1615583.68);
INSERT INTO MedicalEquipment VALUES (340, 'Stethoscope', 359036.75);
INSERT INTO MedicalEquipment VALUES (341, 'Heart Rate Monitor', 433700.91);
INSERT INTO MedicalEquipment VALUES (342, 'MRI Machine', 1652307.49);
INSERT INTO MedicalEquipment VALUES (343, 'Heart Rate Monitor', 98770.71);
INSERT INTO MedicalEquipment VALUES (344, 'X-Ray', 1524174.67);
INSERT INTO MedicalEquipment VALUES (345, 'Heart Rate Monitor', 702148.23);
INSERT INTO MedicalEquipment VALUES (346, 'Defibrillator', 1507760.45);
INSERT INTO MedicalEquipment VALUES (347, 'Defibrillator', 1095615.65);
INSERT INTO MedicalEquipment VALUES (348, 'Surgical Table', 326360.21);
INSERT INTO MedicalEquipment VALUES (349, 'Defibrillator', 1242717.79);
INSERT INTO MedicalEquipment VALUES (350, 'Pacemaker', 402579.09);
INSERT INTO MedicalEquipment VALUES (351, 'MRI Machine', 40452.77);
INSERT INTO MedicalEquipment VALUES (352, 'X-Ray', 1448242.87);
INSERT INTO MedicalEquipment VALUES (353, 'Stethoscope', 370450.18);
INSERT INTO MedicalEquipment VALUES (354, 'Pacemaker', 1788718.02);
INSERT INTO MedicalEquipment VALUES (355, 'X-Ray', 1069213.07);
INSERT INTO MedicalEquipment VALUES (356, 'Forceps', 436955.67);
INSERT INTO MedicalEquipment VALUES (357, 'MRI Machine', 1699278.21);
INSERT INTO MedicalEquipment VALUES (358, 'Scalpel', 1508385.78);
INSERT INTO MedicalEquipment VALUES (359, 'Surgical Table', 1686403.6);
INSERT INTO MedicalEquipment VALUES (360, 'Defibrillator', 534901.4);
INSERT INTO MedicalEquipment VALUES (361, 'Surgical Table', 806061.06);
INSERT INTO MedicalEquipment VALUES (362, 'Stethoscope', 1043590.41);
INSERT INTO MedicalEquipment VALUES (363, 'Wheelchair', 943913.49);
INSERT INTO MedicalEquipment VALUES (364, 'Wheelchair', 1663315.92);
